Index,Value
2.546497541789577099e+03,4.842258897103861273e+02
2.547498525073746350e+03,4.842257652106623596e+02
2.548499508357915602e+03,4.842282474177034146e+02
2.549500491642084398e+03,4.842342789727105696e+02
2.550501474926253650e+03,4.842447652701669085e+02
2.551502458210422901e+03,4.842605653470898233e+02
2.552503441494592153e+03,4.842824832365548673e+02
2.553504424778760949e+03,4.843112598720642836e+02
2.554505408062930201e+03,4.843475656238111924e+02
2.555506391347099452e+03,4.843919935415636928e+02
2.556507374631268249e+03,4.844450533718230076e+02
2.557508357915437500e+03,4.845071664091572075e+02
2.558509341199606752e+03,4.845786612332577192e+02
2.559510324483775548e+03,4.846597703744010346e+02
2.560511307767944800e+03,4.847506279407064653e+02
2.561512291052114051e+03,4.848512682309435036e+02
2.562513274336283303e+03,4.849616253467856382e+02
2.563514257620452554e+03,4.850815338083945676e+02
2.564515240904621351e+03,4.852107301671748019e+02
2.565516224188790602e+03,4.853488555995630804e+02
2.566517207472959853e+03,4.854954594558823260e+02
2.567518190757128650e+03,4.856500037287408986e+02
2.568519174041297902e+03,4.858118683962455293e+02
2.569520157325467153e+03,4.859803575865393555e+02
2.570521140609635950e+03,4.861547065019544220e+02
2.571522123893805201e+03,4.863340890334624191e+02
2.572523107177974452e+03,4.865176259891997006e+02
2.573524090462143704e+03,4.867043938546881350e+02
2.574525073746312955e+03,4.868934339970591054e+02
2.575526057030481752e+03,4.870837622211362259e+02
2.576527040314651003e+03,4.872743785817109483e+02
2.577528023598820255e+03,4.874642773537836433e+02
2.578529006882989052e+03,4.876524570609587954e+02
2.579529990167158303e+03,4.878379304615988872e+02
2.580530973451327554e+03,4.880197343927679299e+02
2.581531956735496351e+03,4.881969393734185019e+02
2.582532940019665602e+03,4.883686588706846123e+02
2.583533923303834854e+03,4.885340581365160233e+02
2.584534906588003651e+03,4.886923625261941879e+02
2.585535889872172902e+03,4.888428652154508995e+02
2.586536873156342153e+03,4.889849342389371714e+02
2.587537856440511405e+03,4.891180187795827123e+02
2.588538839724680656e+03,4.892416546458814537e+02
2.589539823008849453e+03,4.893554688822765115e+02
2.590540806293018704e+03,4.894591834664884118e+02
2.591541789577187956e+03,4.895526180567771348e+02
2.592542772861356752e+03,4.896356917616382702e+02
2.593543756145526004e+03,4.897084239142179172e+02
2.594544739429695255e+03,4.897709338436990834e+02
2.595545722713864052e+03,4.898234396459503728e+02
2.596546705998033303e+03,4.898662559657490192e+02
2.597547689282202555e+03,4.898997908127824985e+02
2.598548672566371806e+03,4.899245414433119663e+02
2.599549655850541058e+03,4.899410893487258249e+02
2.600550639134709854e+03,4.899500944011624597e+02
2.601551622418879106e+03,4.899522882148123131e+02
2.602552605703048357e+03,4.899484667893663641e+02
2.603553588987217154e+03,4.899394825092628025e+02
2.604554572271386405e+03,4.899262355788313243e+02
2.605555555555555657e+03,4.899096649790866991e+02
2.606556538839724453e+03,4.898907390367064068e+02
2.607557522123893705e+03,4.898704456996135264e+02
2.608558505408062956e+03,4.898497826165217930e+02
2.609559488692232208e+03,4.898297471197632262e+02
2.610560471976401004e+03,4.898113262116849569e+02
2.611561455260570256e+03,4.897954866548685118e+02
2.612562438544739507e+03,4.897831652653844685e+02
2.613563421828908758e+03,4.897752595062615910e+02
2.614564405113077555e+03,4.897726184753458369e+02
2.615565388397246807e+03,4.897760343777751473e+02
2.616566371681416058e+03,4.897862345684434899e+02
2.617567354965584855e+03,4.898038742441243016e+02
2.618568338249754106e+03,4.898295298584147304e+02
2.619569321533923357e+03,4.898636933254308587e+02
2.620570304818092154e+03,4.899067670702825126e+02
